price,totsp,livesp,kitsp,dist,metrdist,walk,brick,floor
200,77,46,10,3,15,1,1,1
85,65,43,5,7.5,5,1,1,1
125,63,43,6,17,5,1,1,1
220,81,46,13,9,7,1,0,1
114,83,46,12,7,10,1,0,1
210,80,49,10,12.5,5,1,1,1
225,101,65,15,10.5,20,1,1,1
109,79,45,13,14.5,7,0,1,1
201,82,55,9,13.5,7,1,0,1
100,77,52,9,10.5,15,0,1,1
260,135,75,20,12.5,3,1,1,0
130,86,54,13,6,10,1,0,1
193,78,55,8,7.5,10,1,0,1
196,78,46,10,14.5,5,1,0,1
115,57,38,8,12,5,1,0,1
120,76,49,9,3,10,1,1,0
115,77,51,7,5,5,1,1,0
97,80,48,8,13,5,0,1,1
230,80,46,13,5,4,1,1,1
167,113,64,13,14.5,5,0,1,1
160,114,67,15,14.5,10,0,0,1
105,72,52,8,6,15,0,1,1
200,121,71,12,10,3,1,0,1
200,72,46,9,9,10,1,1,1
197,70,46,7,4.5,3,1,1,1
140,56,40,5,9,5,1,1,0
149,77,45,10,13,2,1,0,1
160,84,50,9,12.7,1,1,0,1
165,99,70,9,7.5,7,0,1,1
95,63,42,8,3.5,5,1,1,1
170,81,60,13,13,5,1,0,1
116,75,51,9,3.5,5,0,1,0
140,99,51,12,10.5,1,1,0,0
153,80,40,25,10.5,10,0,0,1
163,115,66,15,13.5,10,0,0,1
226,82,52,10,3,3,1,0,1
114,93,51,12,10,7,1,0,0
129,99,55,11,10.5,15,1,0,0
125,83,53,10,5,12,1,0,0
180,79,45,10,8,15,1,0,1
145,74,45,10,15.5,15,1,0,1
141,113,58,13,13.5,10,0,0,1
78,63,47,6,13.5,5,0,1,1
185,78,53,8,7.5,15,1,1,1
225,80,56,9,9,5,1,1,1
170,86,56,10,12,2,1,0,1
147,77,44,10,13,2,1,0,1
220,83,53,9,4.5,5,1,0,0
179,65,45,8,9,5,1,1,1
265,100,56,14,7,10,0,0,1
245,85,54,12,9,7,1,1,1
88,72,51,9,11.5,10,0,1,1
177,74,45,8,5,15,1,1,1
155,60,40,11,7.5,5,1,1,1
105,75,50,8,6.5,15,1,1,0
199,70,46,8,7.5,7,1,1,1
230,109,58,18,12.7,2,1,0,1
220,100,49,13,14.5,10,1,1,1
100,83,53,10,12,15,0,0,0
170,65,45,7,7.5,2,1,1,1
125,81,56,9,6,5,1,1,0
200,71,46,8,4.5,5,1,1,0
101,62,43,6,12,15,1,0,1
78,64,39,8,7,10,0,0,1
72,60,42,6,11.5,10,0,1,0
110,77,46,10,6,10,0,0,1
98,74,46,11,12.5,10,0,1,0
110,86,53,9,10.5,5,0,0,0
220,77,49,10,7.5,5,1,1,1
155,64,36,8,8,7,1,1,0
155,60,40,8,7.5,5,1,1,1
194,106,60,17,9,5,0,1,1
142,83,45,10,12.7,15,1,0,1
170,86,59,10,17,10,0,1,1
103,78,54,11,12,15,1,1,0
159,109,64,13,14.5,10,0,1,1
95,74,45,8,14.5,5,0,1,0
115,77,50,9,3.5,7,1,0,0
175,81,47,10,14.5,10,0,1,1
112,79,45,8,11.5,2,1,1,1
175,79,47,9,14.5,7,1,1,1
200,78,50,7,8,10,1,1,1
89,79,52,10,15.5,10,1,0,1
118,71,41,8,12,15,0,0,1
93,78,46,10,12,15,0,0,1
160,77,45,10,12,15,1,0,1
132,84,52,11,12.7,20,1,0,1
85,59,44,6,7,1,1,0,1
150,75,51,8,12,15,1,0,0
250,92,57,11,9,3,1,1,1
98,79,48,10,12,10,1,1,1
122,93,52,14,13.5,10,1,0,1
130,82,37,12,6,10,1,0,1
138,95,63,9,10,10,1,0,1
225,80,53,9,7,5,1,1,1
99,72,50,9,7.5,10,0,1,1
230,92,60,14,9,10,1,0,0
100,83,48,10,12,15,0,0,0
81,53,34,6,13,15,1,0,0
96,60,43,6,12,15,1,0,1
208,115,70,14,10,3,1,1,1
170,68,39,10,4.5,10,1,1,0
70,58,41,6,14.5,10,0,1,1
166,77,45,11,10.5,15,1,1,1
150,78,44,10,14.5,15,1,0,1
190,72,46,10,9,5,1,1,1
167,74,43,10,14.5,5,1,0,1
165,65,45,9,9,10,1,1,1
165,65,45,9,9,10,1,1,1
84,76,45,10,17,10,1,0,1
130,78,53,13,3.5,10,1,1,1
185,80,53,9,7.5,15,1,1,1
180,71,47,7,7.5,10,1,1,1
220,103,49,13,14.5,10,1,1,1
78,55,37,6,11.5,2,1,1,1
78,55,37,6,11.5,2,1,1,1
165,90,65,8,6,2,1,1,1
159,107,64,13,14.5,10,0,1,1
200,122,68,12,10,5,1,0,1
123,58,40,7,13.5,5,0,1,1
164,72,48,7,3.5,5,1,1,1
118,77,43,11,7,5,0,0,1
185,76,43,10,8,10,1,0,1
185,68,47,8,4.5,5,1,1,1
125,77,51,8,6,3,1,1,1
160,68,40,9,9,10,1,1,1
104,84,52,11,13,5,0,0,1
158,64,44,9,7,3,1,0,1
138,86,54,10,6,5,0,1,1
116,77,45,10,6,7,0,0,1
240,92,57,12,6.5,12,1,1,1
129,69,42,9,14.5,15,1,0,1
81,56,41,5,6,10,0,1,1
115,77,50,9,6,10,1,1,1
149,92,50,14,10,7,1,1,1
132,96,56,12,10.5,7,0,0,1
154,95,51,11,6.5,3,1,1,1
145,74,45,11,17,10,0,0,1
127,92,50,11,6.5,10,1,0,1
167,74,43,10,14.5,7,1,0,1
130,84,54,8,6.5,15,1,1,1
92,82,48,8,13,12,0,0,1
111,75,42,11,14.5,3,0,1,1
185,80,45,13,12,5,0,0,1
165,96,58,14,7,5,0,0,1
340,125,70,18,7,10,0,1,1
210,79,53,8,7,5,1,1,1
123,81,48,9,12,20,0,0,0
230,85,58,13,3,5,1,0,1
100,58,30,6,17,1,1,0,1
105,78,50,8,9,10,1,1,0
155,73,49,9,10.5,15,1,1,1
155,73,49,9,10.5,15,1,1,1
140,75,40,11,13,5,0,0,1
97,76,45,10,12,10,1,1,1
105,58,44,5,17,2,1,1,1
78,52,34,6,13,15,1,0,1
104,80,45,13,13,5,0,0,1
104,80,45,13,13,5,0,0,1
170,82,52,15,5,1,1,1,1
100,80,45,12,12.7,15,1,0,1
122,96,54,12,13.5,10,0,0,0
170,80,48,9,14.5,7,1,1,1
190,81,46,12,12,5,0,0,1
240,106,71,9,9,10,1,1,1
80,56,37,6,10,1,1,0,0
95,82,50,10,12,10,0,0,1
84,57,42,6,7.5,5,0,1,1
98,70,39,9,11.5,2,1,0,0
109,79,45,13,14.5,5,0,0,1
198,80,45,10,7,7,0,0,1
130,81,56,9,6,7,1,1,0
130,81,56,9,6,7,1,1,1
179,73,47,6,3,10,1,1,1
150,106,63,12,13.5,10,0,0,1
115,75,47,8,6.5,15,1,1,0
130,82,54,8,3.5,10,1,1,1
150,67,39,8,12,5,1,0,1
150,97,63,11,10,7,1,0,1
139,80,48,10,10.5,15,1,0,1
85,58,43,5,7,5,0,0,1
161,108,60,13,14.5,10,0,1,1
95,61,43,6,12,15,1,0,0
140,67,46,9,8,15,1,0,1
75,53,35,7,11.5,5,1,1,0
75,53,35,7,11.5,5,1,1,0
110,75,52,9,7.5,10,0,1,1
140,76,44,10,12,2,1,0,1
130,56,41,6,9,5,1,1,0
124,96,52,10,13.5,5,1,0,1
73,54,35,5,10.5,3,1,1,0
151,102,70,9,10.5,12,1,1,1
80,59,39,6,8,15,0,0,1
82,60,41,6,11.5,5,1,1,1
124,80,51,9,6,10,0,1,1
103,75,45,10,12,5,0,1,1
108,66,42,6,3.5,3,1,1,0
98,75,50,8,11.5,5,0,0,1
115,62,38,9,17,7,1,0,0
170,80,50,8,9,15,0,1,1
209,90,57,8,10.5,2,1,1,1
90,78,45,10,13.5,10,0,0,1
149,78,48,13,4.5,5,1,1,1
122,96,51,12,13.5,10,0,0,0
155,75,45,10,9,15,1,0,1
260,110,56,15,12.5,3,1,1,1
179,77,43,10,8,10,1,0,1
192,123,68,16,14.5,10,0,0,0
120,74,45,10,13,15,1,0,1
103,74,45,8,12,5,1,1,0
110,58,43,6,14.5,10,1,1,1
91,78,45,10,17,10,1,0,1
190,73,54,9,3,10,1,1,1
128,57,38,6,9,5,1,1,1
84,58,42,5,7.5,15,1,1,1
74,53,34,6,10.5,7,0,1,0
156,70,48,7,9,2,1,0,1
145,62,41,9,9,5,1,0,1
113,73,52,8,7.5,5,0,1,0
144,95,62,11,10,10,1,0,1
87,58,40,6,6.5,5,1,0,0
160,86,51,8,12,2,1,1,1
210,105,55,14,17,5,0,0,1
200,100,66,21,9,15,1,1,1
115,64,44,7,12,5,0,0,1
95,77,45,10,13,5,0,0,1
190,78,46,10,8,10,1,1,1
115,65,39,8,13,10,0,0,1
128,83,44,10,7,2,1,0,1
71,54,34,6,7,7,0,0,0
133,75,52,9,3,15,1,1,0
160,101,51,15,7,7,1,0,1
107,65,39,8,12.5,20,1,0,1
105,78,54,9,11,10,1,1,1
145,78,50,10,12,3,1,0,1
117,80,44,13,10.5,10,0,0,1
143,93,57,9,10.5,5,0,1,1
105,54,34,6,3.5,7,1,0,1
125,66,44,9,12.5,15,1,0,1
86,51,35,6,17,10,1,0,0
135,70,40,9,15.5,10,1,0,1
74,60,43,6,13.5,5,0,0,0
300,127,66,15,12.5,5,1,1,1
78,58,44,6,7,7,1,0,0
125,67,46,8,12.5,15,1,0,1
104,72,46,11,12.5,10,0,1,0
88,51,35,6,10.5,3,1,0,1
128,72,53,8,3,10,1,1,0
93,79,45,10,13,7,0,0,0
86,55,40,5,7,2,0,0,1
113,75,51,9,7.5,10,1,1,0
68,57,37,6,13.5,15,1,0,0
82,59,45,6,10,7,1,1,0
98,72,44,7,11.5,7,1,1,0
133,75,48,9,3,12,1,1,0
205,88,59,9,9,10,1,1,0
101,59,44,6,17,10,1,0,1
75,65,45,7,14.5,10,0,0,1
82,70,40,8,17,7,0,0,1
75,56,37,5,10,5,0,0,1
175,70,40,8,3,5,1,1,1
100,78,44,9,13.5,20,0,0,1
77,61,45,6,13.5,5,0,0,0
135,76,44,10,12.7,2,1,0,0
225,92,48,13,9,1,1,1,1
143,74,45,11,11,5,1,0,1
115,64,38,8,17,5,1,0,1
127,85,46,14,12,7,1,1,1
170,71,47,8,7.5,10,1,1,1
170,80,45,13,12,10,1,0,1
77,55,38,6,7.5,10,1,0,0
89,59,38,6,12,15,1,0,1
215,90,61,9,9,1,1,1,1
80,55,41,5,11.5,3,1,1,1
95,82,48,8,13,10,1,0,1
169,70,44,8,8,5,1,1,1
265,136,88,14,10.5,10,1,1,1
170,89,51,12,12.7,6,1,0,0
190,77,54,9,9,5,0,1,1
130,75,44,8,12.7,3,1,0,1
110,63,38,8,17,10,1,0,1
112,72,51,8,6.5,5,1,1,0
112,72,51,8,6.5,5,1,1,1
143,85,52,9,5,8,1,1,1
95,54,38,6,10.5,5,1,0,1
105,60,43,6,17,5,1,0,1
140,87,57,7,10.5,3,1,1,1
193,100,56,12,12,10,0,1,1
168,105,56,12,9,5,1,0,1
85,57,42,6,7.5,15,1,1,1
169,68,40,8,3,5,1,1,1
100,75,45,10,12,10,1,1,1
145,69,47,7,3.5,10,1,1,1
80,58,43,6,10,10,1,1,1
80,68,42,8,13.5,7,1,0,0
100,80,51,10,13.5,10,0,0,1
111,64,40,7,17,10,1,0,0
75,55,36,6,11.5,10,1,1,1
180,73,46,10,7.5,3,1,1,1
125,79,56,8,7.5,10,1,1,1
140,85,50,8,6.5,2,1,1,1
95,75,43,11,14.5,10,0,0,1
88,60,40,5,7,7,1,0,1
155,80,46,13,12,15,1,0,0
107,75,53,9,11.5,10,1,1,0
165,100,54,12,6.5,3,1,0,1
95,57,41,6,4.5,7,1,1,0
150,68,46,9,12,5,1,1,1
165,87,51,12,12.7,6,1,0,0
180,83,53,8,10.5,5,1,0,1
100,57,42,6,11,10,1,1,1
129,79,47,8,10.5,15,1,0,1
145,80,53,9,6,2,1,1,1
93,60,43,6,17,15,0,0,1
131,84,60,10,9,10,1,0,1
168,104,60,16,12,10,1,0,1
120,74,51,8,7,5,0,1,1
140,78,45,10,12,2,1,0,1
120,84,45,11,7,10,1,0,1
74,56,37,6,15.5,7,0,1,0
115,56,39,5,4.5,15,1,1,1
87,56,37,6,7,7,0,1,1
140,82,61,6,3.5,7,1,1,1
70,50,32,5,11.5,7,0,1,0
139,72,45,9,10.5,7,1,0,1
135,68,32,13,3,10,1,1,1
100,79,51,10,13.5,10,0,0,1
165,75,45,10,12.5,5,1,0,1
140,83,53,12,12,15,0,0,1
147,65,46,8,3,10,1,0,1
165,90,58,11,4.5,7,0,0,1
135,77,41,11,13,10,1,0,1
79,57,43,6,10.5,10,0,1,1
138,77,45,10,13,5,0,0,1
85,58,43,5,7,10,0,0,1
141,74,43,10,15.5,10,0,0,1
129,64,39,9,13.5,5,0,0,1
115,68,46,7,14.5,15,1,0,1
120,80,50,8,10.5,5,0,1,1
372,158,80,20,10.5,10,1,0,1
85,59,44,6,9,5,0,0,1
100,78,44,8,13.5,20,0,0,1
105,61,40,8,12,3,1,0,1
85,58,45,6,10,3,1,0,1
140,66,43,7,8,10,0,0,1
133,65,47,8,12.5,2,1,0,1
212,112,60,17,7,10,1,0,1
98,64,43,7,12,15,1,0,1
70,60,43,6,17,10,1,0,1
129,66,44,9,9,15,1,0,0
205,93,66,9,9,10,1,1,1
185,73,45,8,3,2,1,1,1
90,54,42,6,17,10,1,0,1
100,75,45,10,13.5,5,1,0,0
145,96,56,9,11,15,1,1,0
130,60,42,7,9,10,1,1,0
130,78,53,9,3.5,10,1,1,1
112,74,52,7,11,5,1,1,0
130,74,53,7,4.5,7,1,1,1
222,134,75,16,12,5,1,0,1
153,87,66,9,7.5,10,1,1,1
108,78,47,10,12,3,1,0,0
116,66,47,8,12,10,0,0,1
153,75,45,10,7,15,1,0,0
155,85,47,11,12.7,5,1,0,1
155,85,47,11,12.7,5,1,0,1
113,54,34,6,3,10,1,0,1
169,95,58,14,9,7,0,1,1
85,65,43,10,12,5,0,0,1
129,59,41,6,9,5,1,1,0
135,77,46,10,12.7,2,1,0,1
106,72,52,9,11.5,7,0,1,1
180,78,52,8,9,1,1,1,1
139,74,52,9,10.5,7,1,0,1
145,84,53,10,15.5,15,1,0,1
219,113,60,20,9,10,1,0,1
185,75,48,10,7,3,1,1,1
123,79,45,13,9,20,1,0,1
150,75,46,11,9,15,1,0,1
145,82,47,10,14.5,15,1,0,1
118,74,52,9,7.5,7,0,1,1
82,56,39,5,10.5,5,0,1,1
108,79,47,8,14.5,3,0,0,0
75,56,38,6,10,7,1,0,1
80,58,43,5,7,7,1,0,1
210,81,48,10,3,5,1,1,1
113,70,50,9,6,10,1,0,0
120,82,53,9,11.5,10,0,1,1
77,58,37,5,7,12,0,0,1
156,83,55,9,10.5,10,1,1,1
160,87,56,9,3,10,1,0,1
81,59,42,6,12,10,1,1,1
120,77,45,10,7,10,1,0,1
98,60,44,6,14.5,15,1,0,1
97,75,45,10,13,5,0,0,1
153,87,55,10,6.5,5,0,1,1
113,84,54,10,13,5,0,0,1
95,76,45,10,14.5,10,0,0,1
145,88,52,12,6.5,7,1,1,1
75,55,36,6,14.5,7,0,1,0
145,69,43,7,3.5,3,1,1,1
81,58,40,6,12.5,7,1,1,1
101,77,45,13,13,10,0,0,1
114,59,39,6,3.5,5,1,0,1
270,105,74,10,5,1,1,1,1
130,73,41,10,12,5,0,0,1
110,74,53,8,11,15,1,1,0
90,57,38,6,7.5,6,1,1,0
113,77,44,10,9,7,0,0,1
117,80,53,8,11.5,10,0,1,0
120,69,40,9,13.5,15,1,0,1
118,63,37,8,14.5,5,1,0,1
140,82,49,8,13,5,1,0,1
115,78,54,8,11.5,10,1,1,1
195,83,55,9,9,3,1,1,1
150,66,47,9,7,3,1,0,1
82,58,35,11,12.5,10,0,0,0
145,76,51,8,3,5,1,1,0
162,71,49,9,9,10,1,1,1
135,72,43,9,10.5,15,1,0,0
130,87,57,7,13.5,7,1,1,0
110,65,43,7,12,10,0,0,1
197,101,60,15,7,7,0,1,1
110,75,52,9,11.5,10,1,1,0
102,58,38,6,15.5,8,1,0,1
167,74,45,11,5,10,1,0,1
163,72,43,9,7,10,0,1,1
120,60,37,8,12,8,0,0,1
160,73,41,8,7,5,0,0,0
105,53,39,5,3.5,7,1,1,0
105,67,45,8,7.5,5,0,0,0
127,79,45,13,12,3,1,0,1
114,79,45,13,14.5,7,0,0,1
132,74,53,7,4.5,7,1,1,1
88,51,34,6,14.5,10,1,0,1
82,55,34,5,10.5,5,0,1,1
153,66,43,9,5,10,1,1,1
131,74,43,10,13.5,15,1,0,1
95,72,43,12,12.7,7,0,0,0
95,72,43,12,12.7,7,0,0,0
115,74,45,10,13,15,1,0,1
115,74,45,10,13,15,1,0,1
115,75,42,8,12,15,0,0,1
115,75,42,8,12,15,0,0,1
93,59,44,6,7,5,0,0,0
92,70,50,6,12,5,0,0,1
160,75,44,10,12,5,1,0,1
77,58,42,6,12.5,5,0,0,0
155,85,49,9,12,5,1,1,1
145,90,55,10,9,7,1,1,0
170,77,52,7,3,15,1,1,1
140,68,46,7,9,10,1,0,1
156,70,48,7,9,2,1,1,1
153,86,55,10,6.5,5,0,1,1
85,69,48,6,12,10,0,0,1
105,61,38,8,17,5,1,0,0
118,63,38,8,14.5,5,1,0,1
84,58,42,6,13,15,1,0,0
165,79,53,9,8,15,1,1,1
105,68,46,8,12,15,1,0,1
119,80,45,13,14.5,5,0,0,1
227,104,54,10,10.5,8,1,0,1
125,62,40,8,12.5,5,1,0,1
170,85,50,9,13.5,9,0,1,1
280,145,66,16,12.7,3,1,0,0
165,74,46,10,5,10,1,0,1
103,77,46,11,13,5,0,0,1
87,58,45,5,10,3,1,0,1
75,56,37,5,10,10,1,0,0
110,79,47,8,14.5,3,0,0,0
170,78,51,9,10.5,10,1,1,1
80,60,45,6,13.5,5,0,0,1
75,51,34,6,9,5,0,0,0
145,81,43,10,17,3,1,0,0
170,75,55,8,9,7,1,1,1
115,59,39,6,10,10,1,0,0
180,90,56,11,9,15,1,0,0
123,70,47,8,12,7,0,0,1
110,59,38,8,14.5,5,0,0,1
100,60,39,6,17,5,1,0,1
87,55,36,6,3.5,10,1,1,1
135,76,44,9,5,7,1,1,1
133,65,47,8,12.5,5,1,0,1
150,78,44,8,13.5,1,1,0,1
165,69,47,7,4.5,5,0,1,1
415,152,80,17,3,5,1,0,1
140,70,51,8,12.5,10,1,1,1
107,57,41,6,12.5,10,1,1,1
79,55,40,6,10.5,10,0,1,1
97,77,47,9,14.5,10,1,0,0
115,77,45,7,9,5,1,0,0
157,75,53,10,12.5,5,1,0,1
150,78,54,7,3.5,15,0,1,1
185,80,53,9,7.5,10,1,1,1
102,60,43,6,12,5,0,1,1
125,64,44,9,12,12,1,0,1
110,77,46,11,13,2,1,0,1
105,79,52,10,14.5,10,0,0,0
120,80,50,10,7,7,1,0,1
85,60,44,6,7,7,1,0,1
115,74,45,10,12.7,15,1,0,1
80,60,44,6,13.5,5,1,0,1
88,55,38,6,6.5,10,1,1,0
150,78,45,10,14.5,10,0,0,1
87,63,45,6,10,10,1,0,0
112,65,40,8,17,5,1,0,0
121,79,45,13,12,7,1,0,1
75,44,28,6,13.5,7,1,0,1
93,70,50,9,12.5,10,1,0,0
105,83,48,9,13,15,1,0,1
105,60,41,8,4.5,10,1,1,0
142,84,53,10,15.5,15,1,0,1
113,85,53,12,12.7,10,0,0,0
132,88,55,14,17,5,1,0,1
99,75,45,10,14.5,15,0,0,1
110,74,45,12,12.7,1,1,0,0
142,78,46,9,10.5,10,1,1,1
165,77,44,10,8,10,1,0,1
95,51,34,6,12,5,0,0,1
125,62,42,10,12,10,1,0,1
169,85,45,10,13.5,10,1,0,1
130,70,45,9,10.5,15,1,0,1
77,56,38,6,13.5,10,0,1,0
164,90,52,13,10,3,1,1,1
164,90,52,13,10,3,1,1,1
75,54,36,6,10,7,1,0,1
135,78,44,11,12.7,10,1,0,1
89,51,34,6,13.5,10,0,0,1
99,67,37,7,10.5,10,0,1,1
135,75,46,10,11,10,1,0,1
145,75,46,10,9,15,1,0,1
93,57,40,6,3.5,7,1,1,1
160,77,48,8,12,7,1,1,0
140,78,48,11,12.7,8,1,0,1
83,49,34,6,15.5,5,1,0,1
76,55,36,6,12.5,15,0,1,0
105,73,49,8,11.5,5,1,0,0
86,56,42,5,6.5,5,1,1,0
86,56,42,5,6.5,5,1,1,0
150,77,42,8,6,15,1,0,1
75,59,43,5,13.5,10,0,0,0
150,76,45,10,13.5,10,1,0,1
135,80,48,8,13,7,1,0,0
160,86,56,9,6,2,1,0,1
112,77,45,10,10,7,0,0,1
110,75,45,10,12,5,0,1,1
129,60,41,6,3,7,1,0,0
170,75,48,7,7.5,3,1,1,1
92,60,45,6,9,7,0,1,1
110,78,48,14,12,10,1,0,1
75,55,39,6,10,10,1,0,0
205,87,58,9,7.5,5,1,1,1
85,59,40,6,10,5,0,0,1
160,79,51,12,3,8,1,1,1
110,66,43,7,13.5,15,0,0,1
112,73,51,8,10.5,7,0,1,1
137,76,50,15,11,7,1,1,1
82,54,35,6,9,10,1,1,0
130,57,42,6,4.5,5,1,1,1
130,80,46,10,10.5,15,1,0,1
128,70,42,6,14.5,3,1,1,1
121,80,45,13,14.5,5,0,0,1
143,82,45,10,12,10,1,0,1
85,58,39,7,7,5,1,0,1
77,59,38,6,12,10,0,1,0
129,86,55,10,10.5,10,0,0,0
140,79,53,8,7,2,1,0,0
94,72,46,10,14.5,9,0,0,1
125,77,46,10,10.5,15,1,0,1
115,67,42,9,3.5,7,1,1,1
95,72,43,12,12.7,10,0,0,0
130,77,53,9,7,8,1,1,1
120,77,44,10,13.5,5,0,1,1
96,60,45,6,12,10,1,0,1
80,58,38,6,7,10,1,0,1
88,56,36,6,17,10,0,0,1
190,112,55,16,7,10,1,0,1
100,75,45,10,13,5,0,0,1
100,75,45,10,13,5,0,0,1
108,75,50,10,12,3,1,0,1
142,70,45,9,3.5,3,1,0,1
102,64,47,6,17,10,1,0,1
128,70,50,8,5,5,1,1,0
170,79,52,9,9,7,1,0,1
137,74,44,10,15.5,8,0,0,1
79,58,41,6,12.5,5,0,0,0
87,56,37,6,7,7,0,0,1
105,53,36,5,7.5,10,1,1,0
105,53,36,5,7.5,10,1,1,0
97,76,44,10,12,10,1,0,0
106,83,44,10,12,10,0,0,1
75,55,36,6,13.5,15,0,1,0
200,87,60,15,11.5,3,1,1,1
117,79,45,13,14.5,7,0,0,1
80,61,44,7,12,5,0,0,1
115,68,43,9,6.5,5,1,0,1
149,95,57,8,10.5,15,0,1,1
85,55,35,6,10.5,5,0,1,0
130,73,47,9,11,10,1,1,1
80,56,37,6,12,10,1,1,0
125,80,45,13,12,5,0,1,1
100,78,45,10,13,7,1,0,1
